id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,target
771,Female,Loyal Customer,24,Business travel,Eco,2190,2,2,2,2,2,2,4,2,4,2,3,3,3,2,6,2,0
772,Female,Loyal Customer,35,Business travel,Eco,1575,4,4,4,4,4,4,4,4,3,4,4,3,1,4,7,0,1
773,Female,Loyal Customer,39,Business travel,Eco,2143,5,5,5,5,5,5,5,5,1,1,3,1,2,5,5,1,1
774,Male,Loyal Customer,25,Business travel,Eco,2277,3,4,4,4,3,2,3,1,4,3,2,3,3,3,148,145,0
775,Male,Loyal Customer,41,Business travel,Eco,1856,4,5,5,5,4,4,4,4,1,1,3,1,5,4,9,0,1
776,Male,Loyal Customer,31,Business travel,Business,1742,3,3,3,3,4,4,4,4,3,5,4,3,4,4,0,0,1
777,Female,disloyal Customer,29,Business travel,Eco,1746,1,1,1,2,1,1,1,1,4,4,4,1,1,1,9,0,0
778,Female,Loyal Customer,16,Business travel,Eco,2657,4,2,2,2,4,4,3,4,4,2,5,4,1,4,2,14,1
779,Male,Loyal Customer,64,Personal Travel,Eco,2045,3,4,3,3,5,3,3,5,1,1,3,1,3,5,0,0,0
780,Male,Loyal Customer,49,Personal Travel,Eco,1664,1,5,1,3,3,1,3,3,4,2,4,4,4,3,0,8,0
781,Female,Loyal Customer,69,Personal Travel,Eco,512,4,4,4,4,3,4,5,5,5,5,5,4,5,4,40,26,1
782,Female,Loyal Customer,48,Personal Travel,Eco,328,1,1,1,1,5,4,4,5,5,5,5,3,5,5,0,0,1
783,Female,Loyal Customer,33,Personal Travel,Business,1764,5,5,5,5,2,4,2,4,4,4,4,5,4,2,0,0,1
784,Male,Loyal Customer,66,Personal Travel,Eco,924,3,2,3,3,2,3,2,2,2,4,2,1,3,2,0,0,0
785,Female,Loyal Customer,40,Business travel,Business,591,3,3,3,3,2,2,5,5,5,5,5,5,5,5,9,0,1
786,Male,Loyal Customer,35,Business travel,Business,2221,1,1,1,1,5,5,4,4,4,4,4,5,4,4,0,3,1
787,Female,Loyal Customer,37,Business travel,Eco,1646,3,5,5,5,3,3,3,3,4,2,3,5,1,3,0,0,1
788,Male,Loyal Customer,52,Personal Travel,Eco,1686,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0,0
789,Male,Loyal Customer,29,Personal Travel,Eco,1669,4,4,4,4,4,4,4,4,1,2,1,5,2,4,5,13,0
790,Female,Loyal Customer,36,Business travel,Business,3230,3,3,3,3,4,4,5,4,4,4,4,3,4,5,0,0,1
791,Female,Loyal Customer,8,Personal Travel,Eco,2106,5,2,2,2,5,5,5,5,2,2,2,2,1,5,2,0,1
792,Male,Loyal Customer,15,Personal Travel,Eco,2112,2,5,2,3,3,2,3,3,3,5,3,5,5,3,0,0,0
793,Male,Loyal Customer,60,Business travel,Business,3989,5,5,5,5,4,4,4,5,5,5,5,3,5,4,5,3,1
794,Female,Loyal Customer,33,Business travel,Eco,1015,4,3,3,3,4,4,4,4,5,1,2,3,2,4,0,0,1
795,Female,Loyal Customer,59,Business travel,Business,1506,2,2,2,2,5,4,4,4,4,4,4,3,4,3,7,0,1
796,Male,Loyal Customer,71,Business travel,Eco,2190,3,4,4,4,3,3,3,3,4,3,4,3,2,3,112,133,0
797,Female,disloyal Customer,29,Business travel,Business,2443,4,4,4,4,5,4,2,5,5,4,5,5,4,5,0,0,0
798,Female,disloyal Customer,41,Business travel,Eco,1990,2,2,2,4,2,5,3,4,5,3,3,3,3,3,1,6,0
799,Male,disloyal Customer,10,Business travel,Eco,2429,3,2,2,3,5,2,2,5,3,1,3,3,3,5,29,26,0
800,Female,disloyal Customer,35,Business travel,Eco Plus,2063,2,2,2,4,1,2,1,1,3,4,3,2,4,1,0,0,0
801,Female,Loyal Customer,55,Personal Travel,Eco,386,4,5,5,5,4,4,4,4,3,1,1,2,3,4,0,0,1
802,Female,Loyal Customer,35,Business travel,Eco,2031,4,4,4,4,4,4,4,4,4,4,4,5,5,4,17,17,1
803,Male,Loyal Customer,46,Business travel,Business,2215,1,5,5,5,3,2,3,1,1,1,1,3,1,2,0,0,0
804,Female,Loyal Customer,27,Business travel,Business,2007,3,3,3,3,4,4,4,4,5,2,4,3,4,4,0,0,1
805,Male,Loyal Customer,58,Personal Travel,Eco,1339,0,3,0,4,1,0,1,1,2,1,3,4,3,1,0,0,1
806,Male,Loyal Customer,59,Business travel,Business,77,1,1,1,1,3,4,4,5,5,5,5,4,5,5,0,0,1
807,Male,Loyal Customer,44,Business travel,Business,1283,5,5,5,5,2,4,5,5,5,5,5,3,5,5,27,26,1
808,Male,disloyal Customer,11,Business travel,Eco,2688,3,3,3,4,2,3,2,2,3,3,4,2,3,2,0,2,0
809,Female,Loyal Customer,14,Personal Travel,Business,1841,3,3,4,3,5,5,4,5,5,5,5,3,5,4,11,7,1
810,Female,disloyal Customer,39,Business travel,Business,1569,3,3,3,1,2,3,2,2,3,3,4,3,5,2,0,0,0
811,Female,Loyal Customer,37,Personal Travel,Eco,3972,4,4,4,4,3,4,5,5,5,5,5,4,5,4,0,0,1
812,Female,Loyal Customer,13,Business travel,Business,3023,3,2,2,2,3,3,3,3,3,4,4,4,4,3,1,9,0
813,Male,disloyal Customer,34,Business travel,Business,2598,1,0,0,5,0,3,4,3,2,5,5,4,4,4,64,134,0
814,Female,Loyal Customer,50,Business travel,Business,407,5,5,1,5,2,4,5,5,5,5,5,5,5,5,13,3,1
815,Male,Loyal Customer,43,Business travel,Business,2511,2,2,2,2,5,4,5,5,5,5,5,4,5,4,57,46,1
816,Female,Loyal Customer,26,Personal Travel,Eco,2783,2,2,2,2,2,4,5,5,5,5,5,2,5,5,0,0,1
817,Male,Loyal Customer,28,Business travel,Eco Plus,1755,4,3,3,3,4,4,4,4,4,1,2,2,2,4,120,112,1
818,Female,Loyal Customer,34,Business travel,Business,249,2,5,5,5,4,4,4,2,2,2,2,4,2,1,0,0,0
819,Male,disloyal Customer,23,Business travel,Business,2426,0,4,0,1,3,0,3,3,5,3,5,5,5,3,0,0,1
820,Female,Loyal Customer,58,Business travel,Business,1397,1,1,1,1,2,5,5,4,4,4,4,4,4,4,11,0,1
821,Female,Loyal Customer,7,Personal Travel,Eco,2160,0,3,0,3,2,0,2,2,4,5,3,1,4,2,38,32,1
822,Female,Loyal Customer,10,Personal Travel,Eco,2007,2,5,3,3,3,1,1,5,4,5,4,1,4,1,127,133,0
823,Female,Loyal Customer,25,Business travel,Business,2894,2,2,2,2,4,4,4,4,5,5,3,4,4,4,0,0,1
824,Male,Loyal Customer,63,Business travel,Business,1602,5,5,5,5,2,4,5,4,4,4,4,4,4,5,0,0,1
825,Male,Loyal Customer,52,Personal Travel,Eco,2721,3,5,3,2,4,3,4,4,3,4,4,3,4,4,0,0,0
826,Female,Loyal Customer,45,Business travel,Business,3131,1,1,1,1,4,1,1,5,5,5,4,3,5,4,0,0,1
827,Female,Loyal Customer,60,Business travel,Eco,530,5,5,5,5,5,2,1,5,5,5,5,4,5,3,0,0,1
828,Female,Loyal Customer,58,Business travel,Business,622,4,1,1,1,4,2,3,4,4,4,4,1,4,3,3,0,0
829,Male,disloyal Customer,26,Business travel,Eco,1741,4,0,4,1,3,4,3,3,4,1,2,3,5,3,0,0,0
830,Male,Loyal Customer,47,Personal Travel,Eco,1284,2,5,2,3,4,2,4,4,5,4,4,5,5,4,0,0,0
831,Male,Loyal Customer,41,Personal Travel,Eco,1888,3,5,3,4,1,3,1,1,4,2,2,2,5,1,0,0,0
832,Female,Loyal Customer,46,Business travel,Business,2661,5,5,5,5,4,4,4,4,4,4,4,5,4,3,0,0,1
833,Female,Loyal Customer,43,Business travel,Business,2610,2,2,2,2,1,4,4,4,4,4,4,3,4,5,0,0,1
834,Female,Loyal Customer,60,Business travel,Business,723,3,3,3,3,2,4,5,4,4,4,4,5,4,4,0,0,1
835,Female,Loyal Customer,40,Personal Travel,Eco,1529,5,5,5,5,4,5,5,4,4,4,4,4,4,4,0,0,1
836,Female,disloyal Customer,36,Business travel,Business,2527,2,3,3,4,2,3,3,2,3,2,5,4,5,2,0,0,0
837,Female,disloyal Customer,23,Business travel,Eco Plus,1944,2,0,2,2,1,2,4,1,1,1,4,2,2,1,3,0,0
838,Male,Loyal Customer,42,Business travel,Eco,1998,5,3,3,3,5,5,5,5,1,2,2,3,4,5,0,0,1
839,Female,Loyal Customer,41,Personal Travel,Eco,3555,4,4,4,4,5,5,5,5,2,1,1,4,2,5,23,0,1
840,Male,disloyal Customer,27,Business travel,Eco,2416,1,1,1,3,3,1,5,3,3,1,4,4,4,3,0,0,0
841,Female,Loyal Customer,42,Business travel,Business,1815,1,1,1,1,5,4,5,5,5,5,5,3,5,4,0,1,1
842,Female,Loyal Customer,53,Business travel,Eco,476,4,4,4,4,1,5,4,5,5,4,5,3,5,4,23,6,1
843,Female,Loyal Customer,28,Personal Travel,Eco,2861,4,5,4,2,3,5,5,3,3,4,3,4,3,5,39,64,1
844,Male,Loyal Customer,57,Business travel,Business,473,5,5,3,5,2,5,5,5,5,5,5,3,5,3,0,0,1
845,Female,Loyal Customer,18,Personal Travel,Eco Plus,2724,2,2,2,2,1,4,5,4,4,4,4,1,4,4,0,0,1
846,Male,Loyal Customer,12,Business travel,Business,4381,2,3,3,3,2,2,2,2,4,2,4,3,4,2,0,0,0
847,Female,Loyal Customer,43,Business travel,Business,759,4,4,4,4,2,5,5,5,5,5,5,5,5,3,0,0,1
848,Female,Loyal Customer,52,Business travel,Business,698,2,1,1,1,1,4,4,2,2,2,2,3,2,2,6,0,0
849,Male,Loyal Customer,41,Business travel,Business,2380,4,4,4,4,2,5,4,2,2,2,2,3,2,5,0,0,1
850,Male,Loyal Customer,18,Personal Travel,Eco,1622,3,5,3,5,2,3,1,2,3,5,5,3,5,2,0,0,0
851,Female,Loyal Customer,39,Business travel,Business,2343,5,5,5,5,3,4,4,5,5,5,5,5,5,4,0,0,1
852,Female,Loyal Customer,54,Business travel,Business,2004,3,4,3,4,5,3,3,3,3,3,3,3,3,2,0,0,0
853,Female,Loyal Customer,66,Personal Travel,Eco,707,5,3,5,4,3,3,3,4,4,5,1,2,4,2,0,0,1
854,Male,disloyal Customer,49,Business travel,Eco,963,3,0,3,5,1,3,1,1,4,3,1,1,2,1,29,23,0
855,Female,Loyal Customer,69,Personal Travel,Eco,292,5,4,5,3,4,5,2,4,5,4,5,5,5,4,0,0,1
856,Male,Loyal Customer,57,Business travel,Business,1879,2,2,2,2,5,5,4,5,5,5,5,5,5,4,0,0,1
857,Male,Loyal Customer,42,Business travel,Business,2386,3,4,4,4,2,4,3,3,3,3,3,4,3,1,26,18,0
858,Male,disloyal Customer,57,Business travel,Business,1033,1,1,1,2,3,1,3,3,4,1,3,4,3,3,0,0,0
859,Male,Loyal Customer,32,Business travel,Business,3522,3,1,2,1,3,3,3,3,3,2,3,4,4,3,0,0,0
860,Female,disloyal Customer,26,Business travel,Business,1658,5,5,5,5,1,5,1,1,5,3,5,4,4,1,7,1,1
861,Male,Loyal Customer,57,Personal Travel,Eco,1684,2,5,3,2,5,3,5,5,4,4,4,5,4,5,7,0,0
862,Female,disloyal Customer,27,Business travel,Business,2055,4,4,4,5,3,4,1,3,5,5,4,4,4,3,0,0,0
863,Female,Loyal Customer,15,Personal Travel,Eco,1729,0,0,0,3,4,5,3,5,5,1,1,4,5,1,9,0,1
864,Female,Loyal Customer,26,Business travel,Business,1730,5,5,5,5,4,4,4,4,3,2,5,5,5,4,0,0,1
865,Male,Loyal Customer,50,Business travel,Business,645,4,4,4,4,4,4,4,4,4,4,4,5,4,4,11,2,1
866,Male,Loyal Customer,45,Personal Travel,Eco,2085,4,3,4,3,5,4,5,5,4,4,3,3,3,5,0,0,0
867,Male,Loyal Customer,61,Personal Travel,Eco,2401,1,4,1,3,4,1,4,4,5,4,5,4,5,4,1,0,0
868,Female,Loyal Customer,54,Personal Travel,Eco,1265,4,1,4,2,3,2,2,4,4,4,4,3,4,3,123,120,0
869,Male,Loyal Customer,31,Personal Travel,Eco,2169,3,5,3,1,2,3,2,2,3,2,4,4,5,2,0,0,0
870,Male,Loyal Customer,21,Personal Travel,Eco,1786,4,4,4,3,3,4,3,3,4,5,5,3,4,3,0,0,0
871,Female,disloyal Customer,29,Business travel,Business,1705,1,1,1,3,3,1,5,3,5,2,4,3,5,3,55,50,0
872,Female,Loyal Customer,55,Business travel,Business,2906,1,1,1,1,2,5,4,5,5,5,5,3,5,3,0,0,1
873,Female,Loyal Customer,54,Business travel,Business,421,5,5,5,5,3,4,4,4,4,4,4,5,4,5,3,5,1
874,Male,Loyal Customer,52,Business travel,Eco,1285,4,4,4,4,3,4,3,3,4,4,3,2,2,3,5,2,1
875,Male,Loyal Customer,60,Business travel,Business,4046,3,3,2,3,4,4,4,5,5,5,5,3,5,4,40,37,1
876,Female,Loyal Customer,51,Business travel,Business,772,2,2,2,2,4,5,5,5,5,4,5,5,5,3,0,0,1
877,Male,Loyal Customer,43,Business travel,Business,2169,5,5,5,5,3,4,4,5,5,5,5,4,5,4,0,12,1
878,Female,Loyal Customer,42,Business travel,Business,1856,5,5,5,5,2,5,5,4,4,4,4,3,4,4,0,1,1
879,Male,Loyal Customer,25,Business travel,Business,4127,5,5,5,5,4,4,4,4,4,2,4,5,5,4,0,0,1
880,Male,Loyal Customer,39,Business travel,Business,708,1,1,1,1,3,4,5,5,5,5,5,4,5,3,20,68,1
881,Female,Loyal Customer,56,Business travel,Business,3450,3,3,3,3,5,4,4,4,4,4,4,3,4,3,0,0,1
882,Male,disloyal Customer,31,Business travel,Eco,3321,2,2,2,2,2,2,2,4,3,2,3,2,4,2,148,143,0
883,Male,disloyal Customer,27,Business travel,Business,2387,5,5,5,1,4,5,1,4,4,3,4,3,5,4,7,0,1
884,Female,Loyal Customer,32,Business travel,Eco,2788,4,2,2,2,4,4,4,5,3,2,1,4,1,4,136,150,1
885,Male,disloyal Customer,20,Business travel,Eco,1059,2,0,2,5,1,2,1,1,5,5,1,3,2,1,1,11,0
886,Female,Loyal Customer,32,Business travel,Business,3970,3,2,2,2,3,3,3,3,3,4,3,3,1,3,18,37,0
887,Female,Loyal Customer,29,Personal Travel,Eco,1779,2,2,2,2,5,4,5,5,5,5,5,4,5,4,0,0,1
888,Male,disloyal Customer,40,Business travel,Eco,1839,3,1,3,1,3,2,2,3,3,1,2,2,2,2,152,144,0
889,Female,Loyal Customer,41,Business travel,Business,2172,3,3,3,3,2,4,4,4,4,4,4,5,4,3,0,0,1
890,Female,Loyal Customer,47,Business travel,Business,292,0,0,0,2,4,5,5,5,5,5,5,3,5,4,11,1,1
891,Male,Loyal Customer,32,Personal Travel,Eco,1693,3,5,3,2,2,3,5,2,4,5,5,4,4,2,0,0,0
892,Female,disloyal Customer,64,Business travel,Eco Plus,2163,3,3,3,3,2,3,3,2,2,2,3,1,3,2,0,0,0
893,Male,Loyal Customer,47,Business travel,Business,857,3,3,5,3,5,5,5,2,2,2,2,5,2,3,14,0,1
894,Male,Loyal Customer,60,Business travel,Eco,2258,3,3,3,3,2,3,2,2,1,2,3,1,4,2,3,14,0
895,Male,Loyal Customer,41,Business travel,Business,727,5,5,5,5,3,5,4,4,4,4,4,3,4,4,0,0,1
896,Male,Loyal Customer,9,Personal Travel,Eco,1551,2,2,2,4,3,2,3,3,3,1,4,1,4,3,5,6,0
897,Female,Loyal Customer,19,Personal Travel,Eco,2277,5,5,5,5,2,5,5,4,4,4,4,3,4,4,0,0,1
898,Male,Loyal Customer,8,Personal Travel,Eco,1723,2,2,0,3,3,0,3,3,3,5,2,2,2,3,0,0,0
899,Female,disloyal Customer,29,Business travel,Business,2084,4,4,4,1,2,4,2,2,4,4,5,5,4,2,0,0,0
900,Male,Loyal Customer,14,Business travel,Business,4430,4,4,4,4,4,4,4,4,1,2,4,1,2,4,0,0,1
901,Male,Loyal Customer,27,Business travel,Business,4450,4,4,4,4,4,5,4,4,5,3,3,4,4,4,0,6,1
902,Male,disloyal Customer,11,Business travel,Eco,1703,5,0,5,4,3,5,3,3,3,2,4,3,5,3,1,0,1
903,Male,Loyal Customer,68,Personal Travel,Eco,2116,2,4,2,4,5,2,4,5,1,1,4,4,3,5,0,0,0
904,Male,Loyal Customer,46,Business travel,Business,2707,3,3,3,3,4,3,3,3,3,3,3,4,3,3,0,21,0
905,Female,Loyal Customer,56,Business travel,Business,1015,4,4,4,4,3,3,3,5,5,5,5,1,5,4,80,67,1
906,Male,Loyal Customer,54,Business travel,Business,3935,4,4,4,4,4,4,5,4,4,4,4,3,4,4,0,0,1
907,Female,Loyal Customer,40,Business travel,Business,59,2,2,2,2,2,3,4,4,4,4,2,4,4,2,0,0,0
908,Female,Loyal Customer,42,Personal Travel,Eco,872,4,4,1,4,4,4,5,5,5,5,5,4,5,4,0,0,1
909,Male,disloyal Customer,24,Business travel,Eco,2233,1,1,1,3,4,1,1,4,1,5,3,2,2,4,0,0,0
910,Female,disloyal Customer,25,Business travel,Business,2535,5,3,5,2,1,5,1,1,4,4,5,3,4,1,1,0,1
911,Female,disloyal Customer,25,Business travel,Business,1880,4,2,4,3,5,4,5,5,3,5,3,4,4,5,10,7,0
912,Male,Loyal Customer,52,Business travel,Business,970,5,5,5,5,5,4,5,4,4,4,4,5,4,3,6,0,1
913,Female,disloyal Customer,25,Business travel,Business,2195,0,2,0,2,3,0,3,3,5,5,5,4,5,3,38,49,1
914,Male,Loyal Customer,20,Personal Travel,Eco,2941,1,5,1,4,1,1,1,1,3,5,4,4,5,1,37,68,0
915,Female,Loyal Customer,52,Business travel,Eco,454,1,0,0,4,5,4,3,2,2,1,2,1,2,2,0,0,0
916,Male,disloyal Customer,23,Business travel,Business,1950,5,5,5,2,3,5,3,3,3,5,5,4,4,3,0,0,1
917,Female,Loyal Customer,49,Business travel,Business,3297,5,5,5,5,5,4,4,4,4,4,4,5,4,5,0,13,1
918,Male,Loyal Customer,26,Business travel,Business,2823,1,1,1,1,3,4,3,3,5,3,4,3,5,3,38,23,1
919,Female,Loyal Customer,55,Business travel,Business,1118,4,4,4,4,5,5,5,5,5,5,5,5,5,3,0,5,1
920,Male,Loyal Customer,53,Business travel,Business,1465,4,4,3,4,5,5,4,5,5,5,5,4,5,5,0,0,1
921,Female,Loyal Customer,24,Business travel,Business,2466,4,4,5,4,5,5,5,5,5,2,5,5,4,5,0,0,1
922,Male,disloyal Customer,25,Business travel,Business,2151,4,0,3,2,4,3,5,4,3,5,4,3,4,4,0,0,1
923,Female,Loyal Customer,9,Personal Travel,Business,2088,3,3,3,3,4,1,3,4,4,4,4,4,4,4,0,0,1
924,Female,Loyal Customer,31,Business travel,Business,3703,1,3,3,3,1,1,1,1,2,4,4,3,3,1,0,0,0
925,Male,Loyal Customer,38,Business travel,Business,2888,1,1,1,1,1,2,3,5,5,5,5,2,5,2,9,0,1
926,Male,Loyal Customer,19,Personal Travel,Eco,2246,4,1,3,4,3,3,3,3,3,2,4,3,4,3,0,0,0
927,Female,disloyal Customer,62,Business travel,Eco,2084,2,0,2,4,4,2,3,4,4,1,2,3,1,4,0,0,0
928,Female,Loyal Customer,36,Business travel,Eco,1133,3,2,2,2,3,3,3,3,3,5,4,4,3,3,5,1,1
929,Female,Loyal Customer,48,Business travel,Business,3371,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0,1
930,Male,Loyal Customer,39,Business travel,Business,3489,3,3,3,3,3,3,3,3,2,4,5,3,3,3,72,143,1
931,Female,Loyal Customer,32,Business travel,Business,3278,1,1,1,1,4,4,4,1,4,4,1,4,3,4,0,5,1
932,Male,Loyal Customer,42,Business travel,Business,1936,3,3,3,3,3,4,5,5,5,5,5,3,5,4,2,0,1
933,Female,Loyal Customer,49,Personal Travel,Eco,1623,4,3,4,4,1,3,4,4,4,4,4,1,4,2,17,0,0
934,Female,Loyal Customer,45,Business travel,Business,308,5,5,5,5,4,5,4,4,4,5,4,3,4,5,0,0,1
935,Female,Loyal Customer,63,Personal Travel,Eco,677,4,4,4,1,4,5,5,1,1,4,1,4,1,4,0,0,0
936,Male,Loyal Customer,26,Personal Travel,Business,1774,1,1,1,2,4,1,4,4,3,2,1,2,2,4,22,38,0
937,Female,disloyal Customer,19,Business travel,Eco,2431,1,2,2,4,4,2,4,4,1,5,3,2,3,4,0,0,0
938,Male,Loyal Customer,43,Business travel,Eco,1212,2,4,4,4,2,2,2,2,4,1,2,2,3,2,0,13,0
939,Male,Loyal Customer,67,Personal Travel,Eco,2694,1,5,1,2,1,1,1,5,4,5,4,1,3,1,156,153,0
940,Male,Loyal Customer,57,Business travel,Business,985,2,2,5,2,5,4,5,4,4,4,4,5,4,5,3,0,1
941,Male,Loyal Customer,25,Business travel,Business,3629,2,2,2,2,5,5,5,5,4,1,1,4,3,5,0,0,1
942,Male,disloyal Customer,26,Business travel,Business,1459,4,0,4,3,2,4,2,2,5,5,5,4,5,2,0,0,1
943,Male,Loyal Customer,11,Personal Travel,Eco,1794,2,4,5,4,2,5,3,2,4,4,1,2,1,2,12,11,0
944,Female,Loyal Customer,51,Business travel,Business,457,2,2,4,2,2,5,5,5,5,4,5,4,5,5,14,0,1
945,Female,Loyal Customer,54,Business travel,Business,2218,2,2,4,2,2,3,5,4,4,4,4,3,4,4,100,124,1
946,Female,disloyal Customer,23,Business travel,Business,2122,0,4,0,4,1,0,1,1,5,4,4,4,5,1,0,0,1
947,Male,Loyal Customer,53,Business travel,Eco,3627,2,4,4,4,2,2,2,2,3,2,1,2,1,2,0,0,0
948,Female,Loyal Customer,30,Business travel,Eco,2358,4,2,1,1,4,4,4,4,1,3,4,4,4,4,0,0,1
949,Female,Loyal Customer,60,Business travel,Business,368,4,4,4,4,4,5,5,5,5,5,5,5,5,4,17,15,1
950,Male,Loyal Customer,51,Business travel,Business,4015,2,2,2,2,3,4,4,5,5,5,5,5,5,3,0,0,1
951,Female,Loyal Customer,44,Business travel,Business,2856,4,3,3,3,3,4,4,2,2,3,2,4,3,4,180,174,0
952,Male,Loyal Customer,41,Business travel,Business,2298,2,2,5,2,4,5,4,4,4,4,4,4,4,4,0,0,1
953,Male,Loyal Customer,26,Personal Travel,Eco,2179,3,4,3,4,3,3,3,3,3,4,4,3,4,3,22,42,0
954,Male,disloyal Customer,39,Business travel,Business,1906,3,3,3,4,1,3,1,1,3,1,4,1,4,1,0,0,0
955,Male,Loyal Customer,48,Business travel,Business,2057,2,2,2,2,4,5,4,4,4,4,4,3,4,4,0,0,1
956,Female,Loyal Customer,16,Personal Travel,Eco,1672,5,5,4,5,4,5,4,4,4,4,4,4,4,3,0,0,1
957,Male,Loyal Customer,54,Business travel,Business,3470,2,5,5,5,3,2,3,2,2,2,2,1,2,1,0,10,0
958,Female,Loyal Customer,46,Business travel,Business,1512,2,2,2,2,4,4,5,3,3,3,3,4,3,5,0,0,1
959,Female,Loyal Customer,52,Business travel,Business,572,3,3,3,3,2,5,4,5,5,5,5,3,5,4,18,12,1
960,Female,Loyal Customer,49,Business travel,Business,2152,5,5,5,5,1,5,2,5,5,5,5,3,5,1,17,8,1
961,Female,disloyal Customer,30,Business travel,Eco,2078,3,3,3,4,5,3,5,5,1,2,3,4,4,5,0,2,0
962,Male,Loyal Customer,41,Business travel,Business,429,2,2,2,2,5,5,5,5,5,5,5,4,5,4,4,12,1
963,Male,Loyal Customer,15,Personal Travel,Business,1172,4,4,4,5,1,4,1,1,3,3,5,5,5,1,0,0,0
964,Male,Loyal Customer,20,Personal Travel,Eco,1439,2,1,2,2,2,2,1,2,4,2,2,1,2,2,14,19,0
965,Female,Loyal Customer,45,Personal Travel,Eco,509,3,3,3,3,4,4,4,4,3,3,4,5,1,4,0,0,1
966,Male,Loyal Customer,26,Personal Travel,Eco Plus,2176,3,4,3,5,5,3,5,5,4,5,5,4,4,5,6,2,0
967,Male,disloyal Customer,48,Business travel,Eco,1236,2,1,3,3,2,3,2,2,3,5,3,2,3,2,0,0,0
968,Male,Loyal Customer,62,Personal Travel,Eco,1857,3,4,2,3,4,2,4,4,5,5,4,3,4,4,0,0,0
969,Female,Loyal Customer,37,Business travel,Business,532,2,2,2,2,2,5,4,5,5,5,5,4,5,5,0,0,1
970,Female,Loyal Customer,40,Business travel,Business,417,3,3,3,3,5,3,4,3,3,3,3,4,3,2,0,0,0
971,Female,Loyal Customer,31,Personal Travel,Eco,2238,4,5,5,1,2,5,2,2,3,3,5,4,4,2,0,0,0
972,Female,Loyal Customer,22,Business travel,Eco,1094,5,3,2,2,5,5,4,5,3,4,3,4,3,5,28,41,1
973,Female,Loyal Customer,8,Personal Travel,Eco Plus,1878,4,4,4,1,2,4,2,2,5,5,5,3,5,2,18,21,0
974,Male,Loyal Customer,61,Personal Travel,Eco,1514,4,3,4,4,2,4,4,2,1,4,3,4,4,2,0,0,0
975,Male,Loyal Customer,54,Personal Travel,Eco Plus,1832,3,2,3,4,4,3,4,4,4,1,4,3,4,4,0,0,0
976,Female,Loyal Customer,53,Business travel,Business,324,2,2,5,2,3,4,5,4,4,5,4,5,4,3,0,0,1
977,Female,Loyal Customer,13,Personal Travel,Eco,2086,2,2,2,2,2,5,4,5,5,5,5,3,5,3,17,48,1
978,Male,disloyal Customer,26,Business travel,Business,1555,4,0,3,5,4,3,2,4,5,2,5,4,5,4,25,30,1
979,Female,Loyal Customer,66,Personal Travel,Eco,2341,3,3,3,3,3,2,2,3,2,4,4,2,2,2,158,153,0
980,Male,Loyal Customer,69,Personal Travel,Eco,1685,3,4,3,3,5,3,5,5,3,5,4,4,5,5,1,0,0
981,Female,disloyal Customer,15,Business travel,Eco,1945,1,1,1,4,3,1,2,3,1,2,4,4,3,3,2,6,0
982,Male,Loyal Customer,47,Personal Travel,Eco,1725,5,5,5,4,5,5,5,5,4,4,4,3,5,5,0,0,1
983,Male,Loyal Customer,47,Business travel,Business,2521,1,1,1,1,3,5,4,4,4,4,4,5,4,3,0,1,1
984,Male,Loyal Customer,52,Business travel,Business,2604,3,1,1,1,3,3,4,3,3,3,3,3,3,4,0,18,0
985,Female,Loyal Customer,54,Business travel,Business,973,4,4,4,4,3,5,4,4,4,4,4,3,4,4,0,0,1
986,Male,Loyal Customer,10,Personal Travel,Eco,2495,2,5,2,3,2,2,2,5,2,2,2,2,5,2,136,135,0
987,Female,Loyal Customer,43,Business travel,Eco,471,5,1,1,1,1,1,5,3,3,5,3,4,3,5,0,0,1
988,Female,Loyal Customer,33,Business travel,Business,1926,2,2,2,2,2,3,4,5,5,5,4,5,5,3,0,7,1
989,Female,Loyal Customer,19,Business travel,Eco Plus,1719,5,3,4,3,5,5,5,5,3,1,5,1,5,5,0,0,1
990,Male,Loyal Customer,53,Business travel,Business,622,3,3,3,3,2,4,5,5,5,5,5,4,5,4,28,55,1
991,Male,Loyal Customer,52,Personal Travel,Eco,2607,3,5,3,3,2,3,2,2,5,5,5,5,4,2,9,3,0
992,Female,Loyal Customer,35,Personal Travel,Business,738,5,1,5,4,4,3,3,3,3,5,3,4,3,3,0,0,1
993,Female,Loyal Customer,16,Business travel,Business,1692,3,5,5,5,3,3,3,3,1,5,3,1,4,3,54,43,0
994,Female,Loyal Customer,37,Business travel,Business,520,2,3,3,3,5,4,4,2,2,2,2,1,2,3,0,0,0
995,Female,Loyal Customer,40,Business travel,Business,638,4,5,5,5,1,2,2,4,4,4,4,3,4,4,0,0,0
996,Male,Loyal Customer,32,Business travel,Eco,1196,5,4,4,4,5,5,5,5,5,4,3,5,1,5,0,0,1
